execution	cohort	cohort_sort	dependence	dependence_sort	dependence_type	independence	model	model_sort	model_adjustment	model_context	model_note
1	female_bipolar_disorder	1	rapid_cycling	1	logistic	tcw_ukb_testosterone_free_female_premenopause_adjust	47	47	unadjust	marginal	unadjust marginal
1	female_bipolar_disorder	1	rapid_cycling	1	logistic	tcw_ukb_testosterone_free_female_premenopause_unadjust	48	48	unadjust	marginal	unadjust marginal
1	female_bipolar_disorder	1	rapid_cycling	1	logistic	tcw_ukb_testosterone_free_female_perimenopause_adjust	49	49	unadjust	marginal	unadjust marginal
1	female_bipolar_disorder	1	rapid_cycling	1	logistic	tcw_ukb_testosterone_free_female_perimenopause_unadjust	50	50	unadjust	marginal	unadjust marginal
1	female_bipolar_disorder	1	rapid_cycling	1	logistic	tcw_ukb_testosterone_free_female_postmenopause_adjust	51	51	unadjust	marginal	unadjust marginal
1	female_bipolar_disorder	1	rapid_cycling	1	logistic	tcw_ukb_testosterone_free_female_postmenopause_unadjust	52	52	unadjust	marginal	unadjust marginal
1	female_bipolar_disorder	1	rapid_cycling	1	logistic	tcw_ukb_shbg_female_adjust	53	53	unadjust	marginal	unadjust marginal
1	female_bipolar_disorder	1	rapid_cycling	1	logistic	tcw_ukb_shbg_female_unadjust	54	54	unadjust	marginal	unadjust marginal
1	female_bipolar_disorder	1	rapid_cycling	1	logistic	tcw_ukb_shbg_female_premenopause_adjust	55	55	unadjust	marginal	unadjust marginal
1	female_bipolar_disorder	1	rapid_cycling	1	logistic	tcw_ukb_shbg_female_premenopause_unadjust	56	56	unadjust	marginal	unadjust marginal
1	female_bipolar_disorder	1	rapid_cycling	1	logistic	tcw_ukb_shbg_female_perimenopause_adjust	57	57	unadjust	marginal	unadjust marginal
1	female_bipolar_disorder	1	rapid_cycling	1	logistic	tcw_ukb_shbg_female_perimenopause_unadjust	58	58	unadjust	marginal	unadjust marginal
1	female_bipolar_disorder	1	rapid_cycling	1	logistic	tcw_ukb_shbg_female_postmenopause_adjust	59	59	unadjust	marginal	unadjust marginal
1	female_bipolar_disorder	1	rapid_cycling	1	logistic	tcw_ukb_shbg_female_postmenopause_unadjust	60	60	unadjust	marginal	unadjust marginal
1	female_bipolar_disorder	1	rapid_cycling	1	logistic	tcw_ukb_albumin_female_adjust	61	61	unadjust	marginal	unadjust marginal
1	female_bipolar_disorder	1	rapid_cycling	1	logistic	tcw_ukb_albumin_female_unadjust	62	62	unadjust	marginal	unadjust marginal
1	female_bipolar_disorder	1	rapid_cycling	1	logistic	tcw_ukb_albumin_female_premenopause_adjust	63	63	unadjust	marginal	unadjust marginal
