execution	cohort	cohort_sort	dependence	dependence_sort	dependence_type	independence	model	model_sort	model_adjustment	model_context	model_note
1	male_bipolar_disorder	1	rapid_cycling	1	logistic	tcw_ukb_estradiol_detection_male_unadjust;age;body	2	2	unadjust	marginal	unadjust marginal
1	male_bipolar_disorder	1	rapid_cycling	1	logistic	tcw_ukb_estradiol_detection_male_age_low_adjust;age;body	3	3	unadjust	marginal	unadjust marginal
1	male_bipolar_disorder	1	rapid_cycling	1	logistic	tcw_ukb_estradiol_detection_male_age_low_unadjust;age;body	4	4	unadjust	marginal	unadjust marginal
1	male_bipolar_disorder	1	rapid_cycling	1	logistic	tcw_ukb_estradiol_bioavailable_male_adjust;age;body	5	5	unadjust	marginal	unadjust marginal
1	male_bipolar_disorder	1	rapid_cycling	1	logistic	tcw_ukb_estradiol_bioavailable_male_unadjust;age;body	6	6	unadjust	marginal	unadjust marginal
1	male_bipolar_disorder	1	rapid_cycling	1	logistic	tcw_ukb_estradiol_bioavailable_male_age_low_adjust;age;body	7	7	unadjust	marginal	unadjust marginal
1	male_bipolar_disorder	1	rapid_cycling	1	logistic	tcw_ukb_estradiol_bioavailable_male_age_low_unadjust;age;body	8	8	unadjust	marginal	unadjust marginal
1	male_bipolar_disorder	1	rapid_cycling	1	logistic	tcw_ukb_estradiol_free_male_adjust;age;body	9	9	unadjust	marginal	unadjust marginal
1	male_bipolar_disorder	1	rapid_cycling	1	logistic	tcw_ukb_estradiol_free_male_unadjust;age;body	10	10	unadjust	marginal	unadjust marginal
1	male_bipolar_disorder	1	rapid_cycling	1	logistic	tcw_ukb_estradiol_free_male_age_low_adjust;age;body	11	11	unadjust	marginal	unadjust marginal
1	male_bipolar_disorder	1	rapid_cycling	1	logistic	tcw_ukb_estradiol_free_male_age_low_unadjust;age;body	12	12	unadjust	marginal	unadjust marginal
1	male_bipolar_disorder	1	rapid_cycling	1	logistic	tcw_ukb_testosterone_male_adjust;age;body	13	13	unadjust	marginal	unadjust marginal
