execution	cohort	cohort_sort	dependence	dependence_sort	dependence_type	independence	model	model_sort	model_adjustment	model_context	model_note
1	female_bipolar_disorder_2	1	rapid_cycling	1	logistic	tcw_ukb_estradiol_detection_female_adjust	1	1	unadjust	marginal	unadjust marginal
1	female_bipolar_disorder_2	1	rapid_cycling	1	logistic	tcw_ukb_estradiol_detection_female_unadjust	2	2	unadjust	marginal	unadjust marginal
1	female_bipolar_disorder_2	1	rapid_cycling	1	logistic	tcw_ukb_estradiol_detection_female_premenopause_adjust	3	3	unadjust	marginal	unadjust marginal
1	female_bipolar_disorder_2	1	rapid_cycling	1	logistic	tcw_ukb_estradiol_detection_female_premenopause_unadjust	4	4	unadjust	marginal	unadjust marginal
1	female_bipolar_disorder_2	1	rapid_cycling	1	logistic	tcw_ukb_estradiol_female_premenopause_adjust	5	5	unadjust	marginal	unadjust marginal
1	female_bipolar_disorder_2	1	rapid_cycling	1	logistic	tcw_ukb_estradiol_female_premenopause_unadjust	6	6	unadjust	marginal	unadjust marginal
1	female_bipolar_disorder_2	1	rapid_cycling	1	logistic	tcw_ukb_estradiol_bioavailable_female_adjust	7	7	unadjust	marginal	unadjust marginal
1	female_bipolar_disorder_2	1	rapid_cycling	1	logistic	tcw_ukb_estradiol_bioavailable_female_unadjust	8	8	unadjust	marginal	unadjust marginal
1	female_bipolar_disorder_2	1	rapid_cycling	1	logistic	tcw_ukb_estradiol_bioavailable_female_premenopause_adjust	9	9	unadjust	marginal	unadjust marginal
1	female_bipolar_disorder_2	1	rapid_cycling	1	logistic	tcw_ukb_estradiol_bioavailable_female_premenopause_unadjust	10	10	unadjust	marginal	unadjust marginal
1	female_bipolar_disorder_2	1	rapid_cycling	1	logistic	tcw_ukb_estradiol_free_female_adjust	11	11	unadjust	marginal	unadjust marginal
1	female_bipolar_disorder_2	1	rapid_cycling	1	logistic	tcw_ukb_estradiol_free_female_unadjust	12	12	unadjust	marginal	unadjust marginal
1	female_bipolar_disorder_2	1	rapid_cycling	1	logistic	tcw_ukb_estradiol_free_female_premenopause_adjust	13	13	unadjust	marginal	unadjust marginal
1	female_bipolar_disorder_2	1	rapid_cycling	1	logistic	tcw_ukb_estradiol_free_female_premenopause_unadjust	14	14	unadjust	marginal	unadjust marginal
1	female_bipolar_disorder_2	1	rapid_cycling	1	logistic	tcw_ukb_testosterone_female_adjust	15	15	unadjust	marginal	unadjust marginal
1	female_bipolar_disorder_2	1	rapid_cycling	1	logistic	tcw_ukb_testosterone_female_unadjust	16	16	unadjust	marginal	unadjust marginal
1	female_bipolar_disorder_2	1	rapid_cycling	1	logistic	tcw_ukb_testosterone_female_premenopause_adjust	17	17	unadjust	marginal	unadjust marginal
1	female_bipolar_disorder_2	1	rapid_cycling	1	logistic	tcw_ukb_testosterone_female_premenopause_unadjust	18	18	unadjust	marginal	unadjust marginal
1	female_bipolar_disorder_2	1	rapid_cycling	1	logistic	tcw_ukb_testosterone_bioavailable_female_adjust	19	19	unadjust	marginal	unadjust marginal
1	female_bipolar_disorder_2	1	rapid_cycling	1	logistic	tcw_ukb_testosterone_bioavailable_female_unadjust	20	20	unadjust	marginal	unadjust marginal
1	female_bipolar_disorder_2	1	rapid_cycling	1	logistic	tcw_ukb_testosterone_bioavailable_female_premenopause_adjust	21	21	unadjust	marginal	unadjust marginal
1	female_bipolar_disorder_2	1	rapid_cycling	1	logistic	tcw_ukb_testosterone_bioavailable_female_premenopause_unadjust	22	22	unadjust	marginal	unadjust marginal
1	female_bipolar_disorder_2	1	rapid_cycling	1	logistic	tcw_ukb_testosterone_free_female_adjust	23	23	unadjust	marginal	unadjust marginal
1	female_bipolar_disorder_2	1	rapid_cycling	1	logistic	tcw_ukb_testosterone_free_female_unadjust	24	24	unadjust	marginal	unadjust marginal
1	female_bipolar_disorder_2	1	rapid_cycling	1	logistic	tcw_ukb_testosterone_free_female_premenopause_adjust	25	25	unadjust	marginal	unadjust marginal
1	female_bipolar_disorder_2	1	rapid_cycling	1	logistic	tcw_ukb_testosterone_free_female_premenopause_unadjust	26	26	unadjust	marginal	unadjust marginal
1	female_bipolar_disorder_2	1	rapid_cycling	1	logistic	tcw_ukb_shbg_female_adjust	27	27	unadjust	marginal	unadjust marginal
1	female_bipolar_disorder_2	1	rapid_cycling	1	logistic	tcw_ukb_shbg_female_unadjust	28	28	unadjust	marginal	unadjust marginal
1	female_bipolar_disorder_2	1	rapid_cycling	1	logistic	tcw_ukb_shbg_female_premenopause_adjust	29	29	unadjust	marginal	unadjust marginal
1	female_bipolar_disorder_2	1	rapid_cycling	1	logistic	tcw_ukb_shbg_female_premenopause_unadjust	30	30	unadjust	marginal	unadjust marginal
1	female_bipolar_disorder_2	1	rapid_cycling	1	logistic	tcw_ukb_albumin_female_adjust	31	31	unadjust	marginal	unadjust marginal
1	female_bipolar_disorder_2	1	rapid_cycling	1	logistic	tcw_ukb_albumin_female_unadjust	32	32	unadjust	marginal	unadjust marginal
1	female_bipolar_disorder_2	1	rapid_cycling	1	logistic	tcw_ukb_albumin_female_premenopause_adjust	33	33	unadjust	marginal	unadjust marginal
1	female_bipolar_disorder_2	1	rapid_cycling	1	logistic	tcw_ukb_albumin_female_premenopause_unadjust	34	34	unadjust	marginal	unadjust marginal
1	male_bipolar_disorder_2	1	rapid_cycling	1	logistic	tcw_ukb_estradiol_detection_male_adjust	1	1	unadjust	marginal	unadjust marginal
1	male_bipolar_disorder_2	1	rapid_cycling	1	logistic	tcw_ukb_estradiol_detection_male_unadjust	2	2	unadjust	marginal	unadjust marginal
1	male_bipolar_disorder_2	1	rapid_cycling	1	logistic	tcw_ukb_estradiol_detection_male_age_low_adjust	3	3	unadjust	marginal	unadjust marginal
1	male_bipolar_disorder_2	1	rapid_cycling	1	logistic	tcw_ukb_estradiol_detection_male_age_low_unadjust	4	4	unadjust	marginal	unadjust marginal
1	male_bipolar_disorder_2	1	rapid_cycling	1	logistic	tcw_ukb_estradiol_bioavailable_male_adjust	5	5	unadjust	marginal	unadjust marginal
1	male_bipolar_disorder_2	1	rapid_cycling	1	logistic	tcw_ukb_estradiol_bioavailable_male_unadjust	6	6	unadjust	marginal	unadjust marginal
